N,frame,fps
1600,1,81.91521
1600,2,129.1827
1600,3,126.545
1600,4,122.4929
1600,5,126.468
1600,6,78.5938
1600,7,104.9851
1600,8,95.63326
1600,9,59.10062
1600,10,121.2523
1600,11,118.2411
1600,12,110.3273
1600,13,57.10298
1600,14,54.19529
1600,15,106.8387
1600,16,66.67735
1600,17,94.12408
1600,18,124.9159
1600,19,70.38752
1600,20,118.5359
1600,21,113.4101
1600,22,63.25205
1600,23,123.319
1600,24,60.74233
1600,25,58.09274
1600,26,58.17194
1600,27,93.03217
1600,28,51.3791
1600,29,50.51581
1600,30,51.11711
1600,31,106.1809
1600,32,47.55019
1600,33,45.83448
1600,34,42.63831
1600,35,40.90575
1600,36,38.1343
1600,37,36.79772
1600,38,34.16834
1600,39,69.8073
1600,40,32.34369
1600,41,33.67908
1600,42,32.16364
1600,43,29.40359
1600,44,80.62533
1600,45,28.83173
1600,46,26.72233
1600,47,26.13703
1600,48,49.38176
1600,49,25.58508
1600,50,25.19233
1600,51,24.99199
1600,52,24.21922
1600,53,24.30376
1600,54,23.53584
1600,55,23.15271
1600,56,23.5797
1600,57,22.22044
1600,58,22.51294
1600,59,21.47709
1600,60,21.15532
1900,1,64.34781
1900,2,111.2121
1900,3,92.5999
1900,4,64.01733
1900,5,104.2224
1900,6,61.43527
1900,7,60.82559
1900,8,136.0198
1900,9,121.4647
1900,10,59.29753
1900,11,99.34132
1900,12,58.32997
1900,13,97.60493
1900,14,98.58798
1900,15,88.90194
1900,16,54.99137
1900,17,53.83934
1900,18,52.21994
1900,19,50.44995
1900,20,112.8525
1900,21,48.73029
1900,22,85.37614
1900,23,44.36387
1900,24,45.99664
1900,25,44.01186
1900,26,41.44418
1900,27,74.55996
1900,28,40.74051
1900,29,82.27973
1900,30,37.41745
1900,31,34.04322
1900,32,34.35173
1900,33,35.83994
1900,34,63.56737
1900,35,74.95457
1900,36,32.65469
1900,37,30.50339
1900,38,26.62016
1900,39,27.21553
1900,40,59.06076
1900,41,25.01867
1900,42,24.13895
1900,43,23.84852
1900,44,23.25609
1900,45,97.42493
1900,46,22.71407
1900,47,64.04813
1900,48,21.44968
1900,49,20.90247
1900,50,20.18323
1900,51,19.88976
1900,52,19.10206
1900,53,68.79293
1900,54,15.20272
1900,55,34.29757
1900,56,18.03172
1900,57,18.37671
1900,58,18.85072
1900,59,14.20422
