N,frame,fps
1300,59,45.11612
1300,60,41.98098
1600,1,92.39918
1600,2,87.21046
1600,3,91.39186
1600,4,79.76335
1600,5,79.20904
1600,6,75.05753
1600,7,75.01524
1600,8,74.6987
1600,9,74.36156
1600,10,71.09709
1600,11,66.97239
1600,12,68.12392
1600,13,64.48607
1600,14,67.71916
1600,15,62.72618
1600,16,45.54647
1600,17,59.0533
1600,18,61.34003
1600,19,57.84323
1600,20,61.23507
1600,21,26.05289
1600,22,54.28358
1600,23,52.9501
1600,24,51.6862
1600,25,51.63248
1600,26,49.71953
1600,27,50.01918
1600,28,48.95239
1600,29,50.15486
1600,30,47.04797
1600,31,46.62482
1600,32,46.35337
1600,33,45.96732
1600,34,45.82428
1600,35,31.7912
1600,36,44.92004
1600,37,39.48705
1600,38,41.73565
1600,39,43.2775
1600,40,41.07023
1600,41,40.67023
1600,42,39.61111
1600,43,38.94959
1600,44,39.98085
1600,45,39.52268
1600,46,41.11996
1600,47,37.85919
1600,48,38.3858
1600,49,38.38271
1600,50,38.18103
1600,51,36.1466
1600,52,35.99025
1600,53,34.84
1600,54,34.26466
1600,55,32.61941
1600,56,31.7064
1600,57,33.41626
1600,58,34.07103
1600,59,32.40787
1600,60,31.58784
1900,1,68.01255
1900,2,70.49173
1900,3,68.91244
1900,4,65.74335
1900,5,67.24166
1900,6,62.8565
1900,7,63.58788
1900,8,62.88501
1900,9,57.91067
1900,10,60.41472
1900,11,58.10986
1900,12,57.39039
1900,13,55.72977
1900,14,55.27714
1900,15,44.38093
1900,16,50.95422
1900,17,51.20903
1900,18,50.3834
1900,19,49.04979
1900,20,26.16719
1900,21,49.07365
1900,22,46.39991
1900,23,45.95907
1900,24,46.16754
1900,25,46.30114
1900,26,42.58802
1900,27,41.66355
1900,28,41.64009
1900,29,40.60869
1900,30,38.67485
1900,31,38.7654
1900,32,37.80329
1900,33,38.14209
1900,34,33.20456
1900,35,35.6697
1900,36,35.89476
1900,37,34.21815
1900,38,31.70791
1900,39,31.8951
1900,40,32.41576
1900,41,31.05435
1900,42,30.76101
1900,43,29.72975
1900,44,29.3103
1900,45,30.62655
1900,46,29.78908
1900,47,29.45661
1900,48,26.15732
1900,49,28.52794
1900,50,26.64782
1900,51,26.70727
1900,52,26.5052
1900,53,26.784
1900,54,25.94686
1900,55,26.09783
1900,56,25.88732
1900,57,25.84932
1900,58,25.66018
1900,59,23.44774
1900,60,24.78165
2200,1,56.82499
2200,2,55.24778
2200,3,55.72417
2200,4,54.79028
2200,5,52.54465
2200,6,50.65178
2200,7,47.66586
2200,8,45.84512
2200,9,47.84746
2200,10,47.10857
2200,11,45.79276
2200,12,43.02072
2200,13,41.30162
2200,14,40.04869
2200,15,40.99839
2200,16,38.12418
2200,17,36.67882
2200,18,39.70184
2200,19,38.54943
2200,20,22.98779
2200,21,31.17566
2200,22,33.7456
2200,23,33.2613
2200,24,33.35698
2200,25,32.92273
2200,26,31.31853
2200,27,31.95022
2200,28,31.27614
2200,29,30.22382
2200,30,29.76458
2200,31,26.99604
2200,32,26.50204
2200,33,26.33761
2200,34,26.56783
2200,35,26.58163
2200,36,26.32907
2200,37,25.75789
2200,38,25.60412
2200,39,25.5697
2200,40,24.85865
2200,41,23.96473
