N,frame,fps
100,1,1229.454
100,2,1302.086
100,3,1058.903
100,4,1252.591
100,5,1165.313
100,6,1215.534
100,7,1158.821
100,8,1267.86
100,9,1224.028
100,10,1186.923
100,11,1162.87
100,12,1159.628
100,13,1052.541
100,14,1105.325
100,15,1204.1
100,16,1133.174
100,17,1257.798
100,18,1094.421
100,19,1264.008
100,20,1090.119
100,21,1149.217
100,22,1071.862
100,23,1181.446
100,24,937.5023
100,25,1163.276
100,26,1031.659
100,27,1073.245
100,28,780.336
100,29,1214.647
100,30,983.2003
100,31,1152.002
100,32,1158.417
100,33,856.0013
100,34,1152.8
100,35,1173.945
100,36,569.1062
100,37,1111.23
100,38,530.4643
100,39,1015.914
100,40,1033.903
100,41,1116.448
100,42,1002.45
100,43,1065.344
100,44,1195.45
100,45,1176.85
100,46,1101.302
100,47,1106.795
100,48,1005.478
100,49,1049.553
100,50,1094.061
100,51,910.5699
100,52,1013.747
100,53,753.3121
100,54,529.5359
100,55,790.5305
100,56,1014.056
100,57,897.7969
100,58,1020.9
100,59,908.5812
100,60,999.4394
400,1,273.8979
400,2,256.7806
400,3,245.1483
400,4,265.5284
400,5,151.7063
400,6,263.2184
400,7,281.6633
400,8,264.1795
400,9,230.2091
400,10,253.9009
400,11,174.5036
400,12,172.0766
400,13,265.8041
400,14,237.8937
400,15,188.36
400,16,241.1166
400,17,232.8669
400,18,149.0164
400,19,172.0232
400,20,225.468
400,21,165.942
400,22,132.4577
400,23,149.2972
400,24,158.838
400,25,163.5446
400,26,142.673
400,27,170.0804
400,28,144.9977
400,29,146.5557
400,30,130.1323
400,31,133.2052
400,32,150.2543
400,33,122.9818
400,34,142.9856
400,35,129.5245
400,36,159.1647
400,37,116.4701
400,38,122.7323
400,39,119.3692
400,40,110.1593
400,41,109.9882
400,42,125.0332
400,43,109.2839
400,44,81.71609
400,45,100.8097
400,46,94.47141
400,47,90.66012
400,48,99.99197
400,49,89.69742
400,50,60.08111
400,51,70.6625
400,52,96.60202
400,53,101.8931
400,54,93.27466
400,55,102.2845
400,56,93.08421
400,57,69.4113
400,58,96.99053
400,59,76.96351
400,60,69.78095
700,1,105.8533
700,2,75.30905
700,3,55.62556
700,4,51.83765
700,5,67.59964
700,6,91.72706
700,7,75.41998
700,8,100.4689
700,9,82.60649
700,10,51.99883
700,11,44.06548
700,12,50.07497
700,13,49.24002
700,14,55.35909
700,15,50.89667
700,16,58.10897
700,17,45.85785
700,18,39.71993
700,19,34.97444
700,20,47.97447
700,21,47.84069
700,22,47.05206
700,23,49.61365
700,24,40.78744
700,25,41.0293
700,26,29.81877
700,27,36.66516
700,28,42.9132
700,29,43.43007
700,30,36.55722
700,31,27.56355
700,32,28.68363
700,33,30.13576
700,34,25.95906
700,35,26.10792
700,36,27.37627
700,37,26.43725
700,38,27.60859
700,39,27.11553
700,40,25.06823
700,41,27.12879
700,42,24.3265
700,43,26.90053
700,44,26.82313
700,45,24.34163
700,46,27.3109
700,47,23.42156
700,48,23.00325
700,49,23.83571
700,50,23.3545
700,51,20.64355
700,52,22.93904
700,53,23.06079
700,54,23.29418
700,55,22.57417
700,56,21.79638
700,57,22.84801
700,58,21.67614
700,59,20.71964
700,60,22.25015
1000,1,52.49007
1000,2,43.73195
1000,3,40.83348
1000,4,41.68764
1000,5,42.96083
1000,6,48.94097
1000,7,44.85596
1000,8,39.76834
1000,9,34.88572
1000,10,34.91757
1000,11,31.6528
1000,12,29.68234
1000,13,28.32333
1000,14,31.80951
1000,15,27.61271
1000,16,24.39497
1000,17,24.15471
1000,18,22.26682
1000,19,24.20901
1000,20,22.15712
1000,21,22.84268
1000,22,21.76047
1000,23,22.34396
1000,24,20.33702
1000,25,20.54213
1000,26,19.35535
1000,27,19.92131
1000,28,17.37756
1000,29,18.11465
1000,30,17.30168
1000,31,17.87541
1000,32,16.67986
1000,33,17.10076
1000,34,17.07059
1000,35,16.72958
1000,36,15.3922
1000,37,15.68099
1000,38,16.63235
1000,39,15.75552
1000,40,16.61981
1000,41,15.93674
1000,42,16.14454
1000,43,15.10501
1000,44,15.28244
1000,45,14.59285
1000,46,13.76741
1000,47,14.5006
1000,48,14.09927
1000,49,14.10513
1000,50,13.57923
1000,51,13.80332
1000,52,13.2463
1000,53,13.75421
1000,54,13.36428
1000,55,12.07543
1000,56,13.43994
1000,57,11.79165
1000,58,12.52181
1000,59,13.04879
