N,frame,fps
1300,58,4.002108
1300,59,3.98994
1300,60,3.966308
1600,1,13.82144
1600,2,9.790729
1600,3,5.582561
1600,4,3.60413
1600,5,6.410439
1600,6,7.485157
1600,7,6.41386
1600,8,4.659854
1600,9,4.450703
1600,10,4.427622
1600,11,5.035309
1600,12,5.047727
1600,13,4.985265
1600,14,5.130126
1600,15,4.760419
1600,16,4.353431
1600,17,4.973687
1600,18,4.887284
1600,19,4.858531
1600,20,4.668803
1600,21,4.568166
1600,22,4.588048
1600,23,4.50754
1600,24,4.568098
1600,25,4.630001
1600,26,4.516508
1600,27,4.631999
1600,28,4.55883
1600,29,4.55016
1600,30,4.61173
1600,31,4.569132
1600,32,4.58648
1600,33,4.49769
1600,34,4.528738
1600,35,4.508963
1600,36,4.47177
1600,37,4.561098
1600,38,4.528017
1600,39,4.50707
1600,40,4.513243
1600,41,4.493542
1600,42,4.382317
1600,43,4.513451
1600,44,4.569678
1600,45,4.574382
1600,46,4.460114
1600,47,4.425114
1600,48,4.510142
1600,49,4.507747
1600,50,4.375777
1600,51,4.420912
1600,52,4.448721
1600,53,4.560823
1600,54,4.490862
1600,55,4.441988
1600,56,4.446041
1600,57,4.4515
1600,58,4.479558
1600,59,4.527253
1600,60,4.446885
1900,1,9.946602
1900,2,6.9376
1900,3,4.207399
1900,4,3.233153
1900,5,3.142051
1900,6,3.113079
1900,7,3.480157
1900,8,3.346155
1900,9,3.060169
1900,10,3
1900,11,3
1900,12,3
1900,13,3
1900,14,3
1900,15,3
1900,16,3
1900,17,3
1900,18,3
1900,19,3
1900,20,3
1900,21,3
1900,22,3
1900,23,3
1900,24,3
1900,25,3
1900,26,3
1900,27,3
1900,28,3
1900,29,3
1900,30,3
1900,31,3
1900,32,3
1900,33,3
1900,34,3
1900,35,3
1900,36,3
1900,37,3
1900,38,3
1900,39,3
1900,40,3
1900,41,3
1900,42,3
1900,43,3
1900,44,3
1900,45,3
1900,46,3
1900,47,3
1900,48,3
1900,49,3
1900,50,3
1900,51,3
1900,52,3
1900,53,3
1900,54,3
1900,55,3
1900,56,3
1900,57,3
1900,58,3
1900,59,3
1900,60,3
2200,1,7.558562
2200,2,5.574379
2200,3,3.558481
2200,4,3
2200,5,4.062355
2200,6,4.633914
2200,7,3.777599
2200,8,3.204176
2200,9,3
2200,10,3
2200,11,3.033974
2200,12,3
2200,13,3
2200,14,3
2200,15,3
2200,16,3
2200,17,3
2200,18,3
2200,19,3
2200,20,3
2200,21,3
2200,22,3
2200,23,3
2200,24,3
2200,25,3
2200,26,3
2200,27,3
2200,28,3
2200,29,3
2200,30,3
2200,31,3
2200,32,3
2200,33,3
2200,34,3
2200,35,3
2200,36,3
2200,37,3
2200,38,3
2200,39,3
2200,40,3
2200,41,3
2200,42,3
2200,43,3
2200,44,3
2200,45,3
2200,46,3
2200,47,3
2200,48,3
2200,49,3
2200,50,3
2200,51,3
2200,52,3
2200,53,3
2200,54,3
2200,55,3
2200,56,3
2200,57,3
2200,58,3
2200,59,3
2200,60,3
2500,1,5.899742
2500,2,4.373058
2500,3,3
2500,4,3
2500,5,3
2500,6,3
2500,7,3
2500,8,3
2500,9,3
2500,10,3
2500,11,3
2500,12,3
2500,13,3
2500,14,3
