N,frame,fps
100,1,50
100,2,1323.313
100,3,1393.107
100,4,1268.343
100,5,1351.252
100,6,1376.969
100,7,1375.262
100,8,1471.323
100,9,1334.991
100,10,1380.395
100,11,1344.157
100,12,1434.54
100,13,1374.126
100,14,1240.915
100,15,1283.012
100,16,1357.867
100,17,1261.612
100,18,1158.821
100,19,1317.029
100,20,1365.668
100,21,1415.023
100,22,1239.067
100,23,1240.915
100,24,1239.067
100,25,1294.49
100,26,1305.662
100,27,1355.103
100,28,1198.895
100,29,1239.99
100,30,1264.488
100,31,1278.576
100,32,1324.367
100,33,1245.559
100,34,1312.355
100,35,1252.119
100,36,1278.576
100,37,1133.947
100,38,1109.378
100,39,744.7154
100,40,1219.096
100,41,994.6602
100,42,1123.99
100,43,1258.273
100,44,1146.841
100,45,1021.84
100,46,1176.85
100,47,1067.736
100,48,1170.23
100,49,1199.76
100,50,1171.878
100,51,1092.983
100,52,1161.652
100,53,1174.359
100,54,1169.818
100,55,1202.795
100,56,1178.935
100,57,1154.399
100,58,1333.387
100,59,1207.595
100,60,1201.492
400,1,356.2167
400,2,364.607
400,3,350.5143
400,4,372.5661
400,5,352.1089
400,6,324.8861
400,7,328.4126
400,8,249.8598
400,9,323.2138
400,10,322.3061
400,11,326.7681
400,12,288.5498
400,13,317.0858
400,14,338.1905
400,15,319.0923
400,16,288.9757
400,17,333.0131
400,18,279.6281
400,19,289.7556
400,20,284.6748
400,21,295.7552
400,22,282.7641
400,23,313.1476
400,24,267.2126
400,25,274.3721
400,26,246.8575
400,27,266.1655
400,28,297.9795
400,29,274.916
400,30,308.1034
400,31,276.5149
400,32,255.5974
400,33,268.4844
400,34,269.0052
400,35,262.5953
400,36,260.7233
400,37,251.9214
400,38,233.9966
400,39,264.8311
400,40,256.6222
400,41,242.2927
400,42,248.6279
400,43,228.0949
400,44,226.9904
400,45,235.47
400,46,203.0959
400,47,237.3
400,48,244.8417
400,49,228.5178
400,50,223.3197
400,51,235.6367
400,52,219.8384
400,53,229.7482
400,54,224.2526
400,55,200.6229
400,56,236.0211
400,57,205.8596
400,58,207.7357
400,59,174.9255
400,60,190.6912
700,1,148.3985
700,2,145.4858
700,3,166.0248
700,4,167.9349
700,5,155.3388
700,6,139.9963
700,7,132.2577
700,8,124.5
700,9,154.5166
700,10,148.7234
700,11,140.6234
700,12,136.0421
700,13,137.1465
700,14,128.6185
700,15,143.553
700,16,139.4742
700,17,137.3956
700,18,115.1364
700,19,132.4577
700,20,128.6633
700,21,131.2459
700,22,127.2125
700,23,101.9805
700,24,118.7262
700,25,114.9614
700,26,117.1383
700,27,110.4005
700,28,119.1129
700,29,114.2824
700,30,106.4662
700,31,112.7951
700,32,94.60836
700,33,119.0575
700,34,107.1483
700,35,113.3522
700,36,99.77016
700,37,90.95248
700,38,99.83601
700,39,88.18582
700,40,94.15337
700,41,84.32057
700,42,95.78188
700,43,79.83624
700,44,86.65208
700,45,86.35977
700,46,77.36066
700,47,79.06243
700,48,86.81256
700,49,80.95677
700,50,86.82162
700,51,87.07375
700,52,79.02488
700,53,73.37315
700,54,79.46832
700,55,82.06265
700,56,78.43081
700,57,72.05154
700,58,85.06628
700,59,75.32269
700,60,82.13354
1000,1,82.66189
1000,2,83.18877
1000,3,87.54789
1000,4,90.95744
1000,5,86.68367
1000,6,78.47149
1000,7,80.13226
1000,8,81.24729
1000,9,70.17529
1000,10,75.08479
1000,11,70.33546
1000,12,67.73998
1000,13,67.33567
