N,frame,fps
100,1,50
100,2,863.105
100,3,1064.662
100,4,1094.061
100,5,1062.962
100,6,1015.914
100,7,848.7971
100,8,1043.629
100,9,1002.752
100,10,1020.587
100,11,944.1512
100,12,1023.096
100,13,1017.156
100,14,1086.915
100,15,1060.929
100,16,1132.789
100,17,1061.944
100,18,1003.659
100,19,995.5529
100,20,1084.436
100,21,997.3429
100,22,1094.781
100,23,1038.743
100,24,982.9099
100,25,1000.04
100,26,1074.978
100,27,1132.789
100,28,1095.862
100,29,1111.601
100,30,1085.143
100,31,990.5157
100,32,1031.34
100,33,970.3011
100,34,1031.979
100,35,1032.62
100,36,940.1506
100,37,989.338
100,38,1058.567
100,39,1019.649
100,40,881.3912
100,41,963.8381
100,42,1045.596
100,43,1022.782
100,44,836.2143
100,45,1017.778
100,46,1031.659
100,47,968.8888
100,48,986.9908
100,49,982.9099
100,50,928.8677
100,51,1027.519
100,52,940.682
100,53,1068.079
100,54,997.3429
100,55,985.2377
100,56,1003.659
100,57,947.3763
100,58,967.7618
100,59,961.3325
100,60,1024.041
400,1,88.22089
400,2,87.44209
400,3,88.41776
400,4,88.17414
400,5,83.10775
400,6,80.77013
400,7,89.60082
400,8,87.20609
400,9,83.37634
400,10,84.68316
400,11,80.75836
400,12,84.29494
400,13,85.62656
400,14,87.91096
400,15,85.94275
400,16,84.41895
400,17,83.70345
400,18,82.28787
400,19,85.4836
400,20,78.93118
400,21,84.82994
400,22,81.87088
400,23,82.68448
400,24,76.86752
400,25,83.76455
400,26,82.49388
400,27,76.38063
400,28,80.34117
400,29,82.1741
400,30,78.4641
400,31,78.10319
400,32,78.29796
400,33,78.13069
400,34,81.42023
400,35,76.76115
400,36,80.53753
400,37,78.11602
400,38,76.91015
400,39,79.54619
400,40,71.7131
400,41,76.40693
400,42,78.02445
400,43,76.68156
400,44,77.8365
400,45,75.4867
400,46,78.41418
400,47,77.60419
400,48,77.77102
400,49,75.28691
400,50,72.88787
400,51,75.86007
400,52,76.90838
400,53,78.9293
400,54,76.65331
400,55,73.98975
400,56,71.13371
400,57,74.83491
400,58,74.45654
400,59,73.74873
400,60,74.07044
700,1,28.58337
700,2,28.23994
700,3,27.56789
700,4,27.73005
700,5,28.84222
700,6,27.72612
700,7,27.35872
700,8,27.81999
700,9,28.17873
700,10,26.90487
700,11,27.86471
700,12,27.87381
700,13,27.18663
700,14,28.1154
700,15,27.90653
