N,frame,fps
100,1,1504.581
100,2,1208.472
100,3,1556.657
100,4,1487.101
100,5,1479.828
100,6,1482.465
100,7,1408.435
100,8,1475.89
100,9,1454.604
100,10,1384.415
100,11,1489.098
100,12,1337.137
100,13,1427.77
100,14,1341.448
100,15,1316.508
100,16,1619.529
100,17,1122.473
100,18,1194.592
100,19,1367.913
100,20,1182.705
100,21,1255.899
100,22,1418.037
100,23,1232.642
100,24,1290.975
100,25,1228.547
100,26,1329.658
100,27,1305.662
100,28,1260.179
100,29,757.4267
100,30,1346.877
100,31,1367.913
100,32,1358.422
100,33,1258.273
100,34,1437.018
100,35,1419.246
100,36,1317.029
100,37,886.5565
100,38,1236.764
100,39,1309.773
100,40,1223.129
100,41,1263.049
100,42,1325.949
100,43,1152.002
100,44,1222.23
100,45,1387.3
100,46,1226.283
100,47,1339.828
100,48,1117.573
100,49,1296.002
100,50,1212.435
100,51,1196.309
100,52,1307.714
100,53,1120.206
100,54,980.0156
100,55,1130.48
100,56,1264.969
100,57,1213.319
100,58,1136.269
100,59,1350.155
100,60,1184.811
400,1,321.0314
400,2,376.9547
400,3,428.8279
400,4,313.354
400,5,383.2489
400,6,327.7334
400,7,396.3479
400,8,331.9502
400,9,338.2249
400,10,295.913
400,11,359.0219
400,12,342.9297
400,13,286.4388
400,14,273.943
400,15,311.6521
400,16,339.5361
400,17,324.5692
400,18,327.9918
400,19,314.7766
400,20,315.403
400,21,319.1841
400,22,308.4747
400,23,215.6644
400,24,292.0952
400,25,320.0743
400,26,285.2115
400,27,245.1844
400,28,287.3291
400,29,259.4024
400,30,304.8299
400,31,261.3785
400,32,252.1122
400,33,215.455
400,34,213.0823
400,35,235.8705
400,36,185.2256
400,37,270.3162
400,38,263.26
400,39,283.4625
400,40,220.9622
400,41,264.5785
400,42,199.3849
400,43,226.8821
400,44,223.8755
400,45,221.4474
400,46,277.6915
400,47,250.2167
400,48,262.1196
400,49,271.7953
400,50,183.4491
400,51,254.3472
400,52,277.1827
400,53,261.358
400,54,235.7369
400,55,210.2289
400,56,181.1229
400,57,186.0956
400,58,179.5594
400,59,223.1699
400,60,217.1135
700,1,168.7352
700,2,175.6827
700,3,180.5824
700,4,184.8039
700,5,182.5034
700,6,177.3207
700,7,193.6763
700,8,182.5936
700,9,166.8906
700,10,189.4968
700,11,176.1476
700,12,150.6147
700,13,172.2012
700,14,160.8493
700,15,174.0109
700,16,128.015
700,17,160.5312
700,18,142.7771
700,19,140.927
700,20,140.392
700,21,134.846
700,22,144.777
700,23,123.4608
700,24,125.1225
700,25,136.1311
700,26,114.6762
700,27,110.5582
700,28,127.5489
700,29,113.7357
700,30,119.3435
700,31,116.6293
700,32,119.3821
700,33,112.6539
700,34,115.256
700,35,128.8925
700,36,101.2391
700,37,109.1048
700,38,104.6122
700,39,106.928
700,40,105.4742
700,41,116.2017
700,42,96.92838
700,43,109.5357
700,44,111.8136
700,45,112.1868
700,46,84.25013
700,47,89.42027
700,48,104.105
700,49,97.55344
700,50,95.80394
700,51,92.99059
700,52,94.86455
700,53,94.88618
700,54,98.83098
700,55,82.83884
700,56,86.2434
700,57,68.76876
700,58,62.34677
700,59,71.67757
700,60,80.45187
1000,1,103.2908
1000,2,113.7162
1000,3,116.149
1000,4,108.9548
1000,5,99.89594
1000,6,102.6536
1000,7,104.6484
1000,8,76.98487
1000,9,88.06682
1000,10,97.43063
1000,11,85.05975
1000,12,86.59796
1000,13,85.97161
1000,14,85.12067
1000,15,78.52334
1000,16,89.24762
1000,17,83.43904
1000,18,81.53192
1000,19,72.83044
1000,20,73.5743
1000,21,68.26099
1000,22,63.35078
1000,23,70.33546
1000,24,64.82029
1000,25,60.52361
1000,26,59.84344
1000,27,55.8674
1000,28,60.87343
1000,29,49.15348
1000,30,53.58622
1000,31,51.68149
1000,32,53.22288
1000,33,44.88984
1000,34,48.64411
1000,35,47.2941
1000,36,50.1074
1000,37,47.48371
1000,38,49.64695
1000,39,46.81248
1000,40,46.12797
1000,41,44.37096
1000,42,47.66869
1000,43,43.09769
1000,44,46.03227
1000,45,44.36683
1000,46,45.19587
1000,47,44.448
1000,48,45.72554
1000,49,44.94987
1000,50,47.29813
1000,51,45.45264
1000,52,39.10942
1000,53,45.11805
1000,54,40.3112
1000,55,38.43332
1000,56,39.09655
1000,57,33.277
1000,58,38.72353
1000,59,34.13925
1000,60,33.07462
1300,1,71.15044
1300,2,70.20786
1300,3,81.09881
1300,4,74.43655
1300,5,79.9782
1300,6,70.77068
1300,7,69.64807
1300,8,64.89359
1300,9,64.54123
1300,10,65.82932
1300,11,57.99757
1300,12,57.37666
1300,13,58.5743
1300,14,53.7715
1300,15,55.74202
1300,16,54.55777
1300,17,54.94688
1300,18,41.0111
1300,19,44.35204
1300,20,40.58996
1300,21,37.67115
1300,22,37.29502
1300,23,39.67448
1300,24,36.65506
1300,25,33.86551
1300,26,34.65794
1300,27,36.27788
1300,28,34.74986
1300,29,34.40535
1300,30,30.66414
1300,31,34.59777
1300,32,34.14345
1300,33,32.91531
1300,34,30.23459
1300,35,32.25998
1300,36,29.30494
1300,37,30.41002
1300,38,27.24383
1300,39,29.86507
1300,40,28.94583
1300,41,28.69872
1300,42,30.1434
1300,43,27.00355
1300,44,27.25253
1300,45,28.93752
1300,46,28.24856
1300,47,25.90894
1300,48,27.68415
1300,49,26.41334
1300,50,27.5232
1300,51,26.32413
1300,52,25.86927
1300,53,23.46697
1300,54,25.02393
1300,55,24.11481
1300,56,22.44946
1300,57,24.16717
1300,58,22.40066
1300,59,20.97849
1300,60,23.04482
1600,1,52.12588
1600,2,48.10762
1600,3,54.70664
1600,4,53.60089
1600,5,52.68284
1600,6,50.59029
1600,7,46.68443
1600,8,46.88964
1600,9,47.49252
1600,10,44.77871
1600,11,46.1702
1600,12,44.9062
1600,13,42.84249
1600,14,39.15451
1600,15,37.74977
1600,16,35.33237
1600,17,36.84865
1600,18,36.39133
1600,19,35.05992
1600,20,32.65629
1600,21,31.73822
1600,22,31.70949
1600,23,33.91555
1600,24,28.39559
1600,25,26.89987
1600,26,29.2339
1600,27,28.15322
1600,28,24.58364
1600,29,26.64766
1600,30,26.14874
1600,31,26.16333
1600,32,23.05807
1600,33,23.17577
1600,34,21.90354
1600,35,21.96744
1600,36,22.23662
1600,37,21.26181
1600,38,21.06933
1600,39,20.92481
1600,40,19.44559
1600,41,19.45617
1600,42,19.61209
1600,43,19.19084
1600,44,19.53279
1600,45,17.98728
1600,46,16.31542
1600,47,17.44268
1600,48,16.27767
1600,49,15.94017
1600,50,16.26645
1600,51,16.79391
1600,52,16.21834
1600,53,15.73645
1600,54,15.68638
1600,55,15.02177
1600,56,15.31852
1600,57,15.15053
1600,58,14.81765
1600,59,13.77271
1600,60,14.32761
1900,1,40.77145
1900,2,40.98131
1900,3,45.69101
1900,4,42.89937
1900,5,40.36253
1900,6,37.91578
1900,7,36.12941
1900,8,35.22057
1900,9,34.96967
1900,10,32.34746
1900,11,31.96532
1900,12,30.58665
1900,13,27.70005
1900,14,26.59039
1900,15,24.27345
1900,16,23.46069
1900,17,21.51138
1900,18,20.3966
1900,19,18.66456
1900,20,16.32598
1900,21,17.24073
1900,22,16.1246
1900,23,16.90566
1900,24,13.78451
1900,25,13.94578
1900,26,14.35456
1900,27,14.47518
1900,28,13.96006
1900,29,13.52762
1900,30,13.5219
1900,31,12.66529
1900,32,11.02812
1900,33,10.83645
1900,34,11.46719
1900,35,11.11686
1900,36,10.65835
1900,37,10.96653
1900,38,10.64665
1900,39,10.73605
1900,40,9.558135
1900,41,9.764044
1900,42,10.60814
1900,43,10.54602
1900,44,10.28023
1900,45,10.07121
1900,46,10.36679
1900,47,9.55103
1900,48,9.430944
1900,49,9.204722
1900,50,9.195465
1900,51,8.891168
1900,52,8.635372
1900,53,8.858344
1900,54,8.756332
1900,55,8.654842
1900,56,8.683566
1900,57,8.775496
1900,58,8.643087
1900,59,8.802745
1900,60,8.757462
2200,1,30.13794
2200,2,33.8507
2200,3,36.01797
2200,4,35.41547
2200,5,32.27656
2200,6,30.51457
2200,7,28.82424
2200,8,25.34369
2200,9,26.34163
2200,10,28.13276
2200,11,25.86766
2200,12,23.29174
2200,13,23.32144
2200,14,21.23021
2200,15,20.43768
2200,16,19.00205
2200,17,18.48449
2200,18,17.66759
2200,19,16.7912
2200,20,14.50331
2200,21,14.04175
2200,22,14.01856
2200,23,13.39521
2200,24,11.94429
2200,25,11.76701
2200,26,10.93788
2200,27,10.38487
2200,28,10.17986
2200,29,9.707172
2200,30,9.937366
2200,31,10.3564
2200,32,9.990104
2200,33,10.03253
2200,34,8.749932
2200,35,8.607857
2200,36,8.955309
2200,37,9.28637
2200,38,8.870574
2200,39,8.023793
2200,40,8.628589
2200,41,7.87597
2200,42,7.564936
2200,43,7.878469
2200,44,7.686415
2200,45,7.231565
2200,46,7.024519
2200,47,6.940189
2200,48,7.010315
2200,49,6.907047
2200,50,6.532219
2200,51,6.652062
2200,52,6.603714
2200,53,6.198761
2200,54,6.575324
2200,55,6.667414
2200,56,6.48482
2200,57,6.596528
2200,58,6.50238
2200,59,6.431585
2200,60,6.313206
2500,1,25.1552
2500,2,26.63764
2500,3,28.20476
2500,4,25.75895
2500,5,26.52956
2500,6,23.78529
2500,7,21.26902
2500,8,18.82247
2500,9,20.27174
2500,10,20.15462
2500,11,17.55613
2500,12,17.35038
2500,13,13.87913
2500,14,13.46997
2500,15,12.72086
2500,16,12.5438
2500,17,12.26053
2500,18,11.47292
2500,19,11.21165
2500,20,10.97687
2500,21,9.296149
2500,22,9.270126
2500,23,9.1154
2500,24,8.278402
2500,25,8.068162
2500,26,7.508089
2500,27,7.52418
2500,28,7.044741
2500,29,7.388381
2500,30,6.841226
2500,31,7.082204
2500,32,6.740564
2500,33,5.636909
2500,34,5.718914
2500,35,5.650289
2500,36,5.66403
2500,37,5.504795
2500,38,5.386209
2500,39,5.454927
2500,40,5.282558
2500,41,5.29971
2500,42,5.204689
2500,43,5.095113
2500,44,5.178474
2500,45,5.202322
2500,46,4.956599
2500,47,5.128798
2500,48,5.113596
2500,49,5.076802
2500,50,4.79217
2500,51,4.744546
2500,52,4.599251
2500,53,4.425821
2500,54,4.445507
2500,55,4.177519
2500,56,4.349727
2500,57,4.153972
2500,58,4.202698
2500,59,4.05863
2500,60,4.131735
2800,1,21.61125
2800,2,21.32667
2800,3,22.62313
2800,4,22.33466
2800,5,22.40503
2800,6,19.81032
2800,7,17.2855
2800,8,15.54883
2800,9,16.8023
2800,10,15.73236
2800,11,13.62013
2800,12,13.89014
2800,13,12.76707
2800,14,11.46166
2800,15,12.23093
2800,16,11.82453
2800,17,12.26758
2800,18,10.29416
2800,19,10.19733
2800,20,10.96595
2800,21,9.698572
2800,22,9.177993
2800,23,9.411741
2800,24,9.537346
2800,25,8.675372
2800,26,8.662682
2800,27,8.308908
2800,28,8.090619
2800,29,7.919413
2800,30,7.200883
2800,31,6.695636
2800,32,6.288763
2800,33,5.773478
2800,34,5.822028
2800,35,5.816798
2800,36,5.669588
2800,37,5.687269
2800,38,5.635278
2800,39,4.654048
2800,40,5.427927
2800,41,5.41431
2800,42,5.203696
2800,43,5.211658
2800,44,5.234016
2800,45,5.201663
2800,46,4.647601
2800,47,5.010664
2800,48,5.016124
2800,49,4.870434
2800,50,4.952225
2800,51,4.726347
2800,52,4.106504
2800,53,3.88492
2800,54,3.985396
2800,55,3.670442
2800,56,3.838362
2800,57,3.78941
2800,58,3.78433
2800,59,3.690847
2800,60,3.773235
3100,1,17.69305
3100,2,17.63053
3100,3,18.94925
3100,4,17.40337
3100,5,16.17923
3100,6,15.68749
3100,7,13.47395
3100,8,13.32063
3100,9,12.56805
3100,10,11.46889
3100,11,10.40025
3100,12,10.27357
3100,13,8.978938
3100,14,8.106463
3100,15,8.394583
3100,16,7.595408
3100,17,6.153375
3100,18,6.157246
3100,19,5.784828
3100,20,5.07746
3100,21,5.019089
3100,22,4.551579
3100,23,4.393853
3100,24,4.440945
3100,25,4.172684
3100,26,3.900948
3100,27,3.921051
3100,28,3.530809
3100,29,3.816885
3100,30,3.560011
3100,31,3.406071
3100,32,3.397611
3100,33,3.216299
3100,34,3.28159
3100,35,3.155631
3100,36,3.232044
3100,37,3.170644
3100,38,3.210785
3100,39,3
3100,40,3.010956
3100,41,3.096203
3100,42,3.107596
3100,43,3
3100,44,3.062416
3100,45,3
3100,46,3
3100,47,3
3100,48,3
3100,49,3
3100,50,3
3100,51,3
3100,52,3
3100,53,3
3100,54,3
3100,55,3
3100,56,3
3100,57,3
3100,58,3
3100,59,3
3100,60,3
