N,frame,fps
1300,59,43.18493
1300,60,48.54691
1600,1,65.08268
1600,2,55.93125
1600,3,60.52692
1600,4,62.90415
1600,5,61.78082
1600,6,58.15567
1600,7,83.1036
1600,8,58.18211
1600,9,57.1687
1600,10,58.78224
1600,11,79.58423
1600,12,52.85939
1600,13,52.52238
1600,14,53.43652
1600,15,51.43787
1600,16,48.03748
1600,17,66.00819
1600,18,49.57595
1600,19,63.13566
1600,20,46.00872
1600,21,61.10703
1600,22,46.81313
1600,23,44.90499
1600,24,57.08829
1600,25,41.73469
1600,26,42.00279
1600,27,39.78593
1600,28,40.88013
1600,29,40.09654
1600,30,39.48479
1600,31,40.22302
1600,32,50.45301
1600,33,50.53882
1600,34,40.0401
1600,35,48.28069
1600,36,34.30605
1600,37,35.047
1600,38,33.34468
1600,39,33.46472
1600,40,32.10686
1600,41,38.13299
1600,42,34.45665
1600,43,32.7627
1600,44,31.76882
1600,45,38.87597
1600,46,31.27886
1600,47,37.07235
1600,48,38.33416
1600,49,29.82626
1600,50,28.65868
1600,51,28.50649
1600,52,27.52593
1600,53,33.39487
1600,54,28.48283
1600,55,25.78749
1600,56,24.51031
1600,57,22.90525
1600,58,20.84604
1600,59,21.65668
1600,60,22.17573
1900,1,55.46796
1900,2,51.79087
1900,3,52.22649
1900,4,53.28594
1900,5,50.87799
1900,6,65.76299
1900,7,49.14186
1900,8,47.30553
1900,9,63.15962
1900,10,46.50439
1900,11,45.73182
1900,12,46.51544
1900,13,46.09731
1900,14,39.22326
1900,15,44.91468
1900,16,38.04494
1900,17,42.44959
1900,18,39.77309
1900,19,38.14742
1900,20,38.81295
1900,21,39.93919
1900,22,40.03432
1900,23,37.09135
1900,24,34.84628
1900,25,38.1601
1900,26,37.48573
1900,27,36.12706
1900,28,36.17103
1900,29,35.7633
1900,30,33.46404
1900,31,33.98586
1900,32,32.79724
1900,33,42.45338
1900,34,33.60053
1900,35,32.4959
1900,36,29.70911
1900,37,34.28167
1900,38,28.96094
1900,39,32.29818
1900,40,28.7652
1900,41,27.97244
1900,42,31.01188
1900,43,26.735
1900,44,26.99238
1900,45,25.83673
1900,46,24.45574
1900,47,24.56604
1900,48,24.43312
1900,49,23.30821
1900,50,22.99864
1900,51,24.99555
1900,52,21.25095
1900,53,21.59401
1900,54,20.8433
1900,55,21.79909
1900,56,21.32885
1900,57,19.61602
1900,58,20.55304
1900,59,20.23698
1900,60,19.41293
2200,1,48.41414
2200,2,47.37354
2200,3,47.61482
2200,4,46.2697
2200,5,46.29158
2200,6,42.31574
2200,7,41.28941
2200,8,42.82816
2200,9,40.84501
2200,10,40.61175
2200,11,37.4659
2200,12,33.56868
2200,13,35.84419
2200,14,37.07607
2200,15,35.22244
2200,16,34.72194
2200,17,34.79273
2200,18,32.59711
2200,19,40.55929
2200,20,33.31031
2200,21,32.77141
2200,22,31.84542
2200,23,30.17073
2200,24,31.30681
2200,25,28.98869
2200,26,26.65171
2200,27,28.5954
2200,28,27.9955
2200,29,27.31336
2200,30,27.45916
2200,31,26.87033
2200,32,25.48126
2200,33,26.20784
2200,34,25.72669
2200,35,23.86905
2200,36,24.97548
2200,37,23.49613
2200,38,24.04512
2200,39,26.38799
2200,40,21.25747
2200,41,21.45024
2200,42,20.35543
2200,43,19.6181
2200,44,19.7287
2200,45,19.25735
2200,46,19.2838
2200,47,18.86472
2200,48,17.62726
2200,49,18.48275
2200,50,18.04042
2200,51,18.38829
2200,52,17.59865
2200,53,17.0663
2200,54,16.25374
2200,55,16.17648
2200,56,15.31366
2200,57,15.61573
2200,58,14.82643
2200,59,14.55812
2200,60,14.46807
2500,1,43.61047
2500,2,43.62877
2500,3,40.53854
2500,4,39.8264
2500,5,37.97115
2500,6,36.70155
2500,7,35.22952
2500,8,36.87314
2500,9,35.50956
2500,10,34.45914
2500,11,33.08974
2500,12,33.04998
2500,13,30.08346
2500,14,31.2316
2500,15,30.78156
2500,16,30.60352
2500,17,29.44287
2500,18,29.38697
2500,19,28.42493
2500,20,25.44016
2500,21,27.38551
2500,22,27.69613
2500,23,27.21086
2500,24,27.42884
2500,25,26.83459
2500,26,25.17003
2500,27,25.13677
2500,28,24.9903
2500,29,24.35677
2500,30,22.2634
2500,31,22.95248
2500,32,21.61715
2500,33,22.79793
2500,34,21.8499
2500,35,21.77057
2500,36,21.84517
2500,37,20.49621
2500,38,20.43341
2500,39,20.44345
2500,40,19.56977
2500,41,20.89827
2500,42,19.48453
2500,43,19.17359
2500,44,19.29341
2500,45,18.62132
2500,46,17.71546
2500,47,19.13754
2500,48,17.14145
2500,49,18.25135
2500,50,18.05549
2500,51,17.25512
2500,52,17.04061
2500,53,17.23841
2500,54,16.46995
2500,55,15.90149
2500,56,17.05458
2500,57,16.41901
2500,58,15.37777
2500,59,16.30846
2500,60,15.3545
2800,1,37.77248
2800,2,38.10374
2800,3,36.06676
2800,4,34.79418
2800,5,32.61213
2800,6,29.10454
2800,7,30.727
2800,8,31.03531
2800,9,29.86507
2800,10,28.37186
2800,11,28.38178
2800,12,26.63785
2800,13,26.2672
2800,14,22.19022
2800,15,24.75
2800,16,24.5031
2800,17,23.90643
2800,18,23.83349
2800,19,23.70229
2800,20,22.8242
2800,21,21.91868
2800,22,19.58866
2800,23,22.57448
2800,24,21.78397
2800,25,21.22561
2800,26,19.20889
2800,27,19.99527
2800,28,17.07374
2800,29,18.20552
2800,30,19.05154
2800,31,17.12469
2800,32,15.05547
2800,33,16.83239
2800,34,16.47077
2800,35,15.79365
2800,36,15.73533
2800,37,15.76956
2800,38,14.89651
2800,39,14.33366
2800,40,12.23048
2800,41,14.34027
2800,42,13.93305
2800,43,12.90865
2800,44,13.49438
2800,45,12.68812
2800,46,11.20531
2800,47,11.132
2800,48,11.42899
2800,49,11.69428
2800,50,11.97821
2800,51,11.78042
2800,52,11.49725
2800,53,11.08657
2800,54,10.38672
2800,55,11.14348
2800,56,11.29755
2800,57,10.85376
2800,58,10.46622
2800,59,10.19649
2800,60,10.73096
3100,1,29.80302
3100,2,34.50023
3100,3,28.95187
3100,4,30.30755
3100,5,26.17774
3100,6,30.31556
3100,7,24.43832
3100,8,29.30572
3100,9,28.96825
3100,10,27.74693
3100,11,26.63145
3100,12,25.24545
3100,13,21.98543
3100,14,20.13341
3100,15,24.29667
3100,16,20.48069
3100,17,20.41286
3100,18,20.77823
3100,19,18.95702
3100,20,19.6386
3100,21,17.29952
3100,22,18.95648
3100,23,17.30078
3100,24,17.86447
3100,25,17.13589
3100,26,16.98937
3100,27,16.73707
3100,28,15.77905
3100,29,15.79702
3100,30,15.02279
3100,31,14.84607
3100,32,13.5539
3100,33,13.94818
3100,34,12.50581
3100,35,12.39653
3100,36,11.30976
3100,37,11.71267
3100,38,11.40424
3100,39,11.68964
3100,40,11.19208
3100,41,10.78672
3100,42,10.61328
3100,43,9.381153
3100,44,10.19633
3100,45,9.296564
3100,46,9.48105
3100,47,9.184096
3100,48,9.329322
3100,49,8.425547
3100,50,8.376434
3100,51,8.059058
3100,52,8.132015
3100,53,8.448925
3100,54,7.98943
3100,55,8.226082
3100,56,7.97043
3100,57,8.173155
3100,58,8.092725
3100,59,8.106937
3100,60,7.924485
