N,frame,fps
100,1,1128.563
100,2,1041.995
100,3,899.7386
100,4,997.3429
100,5,756.9099
100,6,976.8514
100,7,700.5121
100,8,930.686
100,9,918.8661
100,10,988.4564
100,11,765.6161
100,12,954.1666
100,13,635.7465
100,14,881.1578
100,15,403.9487
100,16,846.2072
100,17,435.8477
100,18,898.7667
100,19,529.5359
100,20,916.5886
100,21,973.1383
100,22,1050.879
100,23,1003.054
100,24,905.6144
100,25,1053.207
100,26,959.1161
100,27,945.4923
100,28,743.5507
100,29,938.2952
100,30,930.1658
100,31,823.184
100,32,694.084
100,33,1001.545
100,34,564.6646
100,35,841.713
100,36,577.1996
100,37,960.2231
100,38,562.3746
100,39,982.6197
100,40,566.2016
100,41,928.6085
100,42,512.9675
100,43,955.8108
100,44,569.3009
100,45,875.594
100,46,607.2128
100,47,888.9244
100,48,793.7355
100,49,682.694
100,50,772.7265
100,51,742.8868
100,52,712.5097
100,53,835.3748
100,54,859.3166
100,55,853.1487
100,56,864.6747
100,57,866.2501
100,58,897.7969
100,59,899.0095
100,60,889.3995
400,1,519.4526
400,2,399.6797
400,3,362.7393
400,4,323.528
400,5,338.0531
400,6,344.9557
400,7,387.7135
400,8,494.8897
400,9,345.816
400,10,322.3686
400,11,315.7921
400,12,256.959
400,13,409.3141
400,14,252.9938
400,15,370.864
400,16,337.8129
400,17,383.3372
400,18,330.8612
400,19,359.2156
400,20,395.0775
400,21,314.8064
400,22,313.9748
400,23,308.2746
400,24,369.8747
400,25,382.764
400,26,230.2728
400,27,334.9908
400,28,329.714
400,29,313.1476
400,30,309.8243
400,31,341.312
400,32,220.4353
400,33,302.5575
400,34,213.7117
400,35,389.3464
400,36,280.9974
400,37,313.354
400,38,308.7036
400,39,301.0251
400,40,257.0781
400,41,288.725
400,42,202.1215
400,43,346.1757
400,44,311.9735
400,45,309.2486
400,46,274.8479
400,47,300.6172
400,48,211.4846
400,49,347.8036
400,50,259.9089
400,51,283.149
400,52,300.6172
400,53,286.045
400,54,299.2118
400,55,289.6043
400,56,279.1355
400,57,274.7118
400,58,245.2025
400,59,253.9978
400,60,251.9977
700,1,204.6696
700,2,213.5335
700,3,207.6838
700,4,203.2572
700,5,246.8209
700,6,209.093
700,7,199.5164
700,8,191.4921
700,9,256.642
700,10,167.428
700,11,231.3292
700,12,204.2802
700,13,197.8558
700,14,277.4369
700,15,180.3377
700,16,187.0683
700,17,265.3379
700,18,163.6089
700,19,264.3893
700,20,249.4105
700,21,260.458
700,22,289.6043
700,23,182.3535
700,24,183.5199
700,25,171.3766
700,26,176.5775
700,27,168.3937
700,28,123.9251
700,29,248.5722
700,30,152.4568
700,31,167.4701
700,32,130.9567
700,33,172.6031
700,34,260.0104
700,35,163.8828
700,36,139.1534
700,37,147.7529
700,38,156.3458
700,39,224.5249
700,40,142.7158
700,41,189.8861
700,42,131.365
700,43,129.5195
700,44,146.7431
700,45,122.5787
700,46,123.4471
700,47,137.9251
700,48,140.6471
700,49,234.4086
700,50,199.0391
700,51,120.5802
700,52,138.2574
700,53,127.9953
700,54,125.2968
700,55,129.5851
700,56,215.4968
700,57,111.3721
700,58,127.3147
700,59,120.5496
700,60,119.7687
1000,1,196.3964
1000,2,104.1995
1000,3,192.3332
1000,4,179.5497
1000,5,201.534
1000,6,197.5505
1000,7,134.5842
1000,8,177.8989
1000,9,173.4758
1000,10,183.0153
1000,11,110.6317
1000,12,128.2221
1000,13,185.7113
1000,14,130.967
1000,15,174.0291
1000,16,128.9174
1000,17,172.1745
1000,18,191.0963
1000,19,105.4374
1000,20,119.8938
1000,21,127.6859
1000,22,182.6136
1000,23,200.6229
1000,24,117.3945
1000,25,165.0696
